Date,USD_Price,USD_Open,USD_High,USD_Low,USD_Vol.,USD_Change %
08/26/21,37.099998,37.27,36.310001,36.849998,36.753284,94500
08/25/21,36.599998,37.52,36.599998,37.080002,36.982685,67600
08/24/21,36.619999,36.830002,36.25,36.450001,36.354336,136900
08/23/21,34.93,36.639999,34.93,36.560001,36.46405,172000
08/20/21,33.77,34.389999,33.41,34.360001,34.269821,102900
08/19/21,32.5,34.119999,31.9,33.5,33.412079,123400
08/18/21,33.700001,33.93,32.630001,32.709999,32.624153,65400
08/17/21,34.52,34.52,33.18,33.720001,33.631504,146500
08/16/21,35.09,35.330002,34.34,35.07,34.977959,90700
08/13/21,34.880001,35.41,34.77,35.389999,35.297119,121100
08/12/21,35.450001,35.450001,34.290001,34.889999,34.798431,232000
08/11/21,36.18,36.25,34.700001,35.560001,35.466675,252500
08/10/21,37.02,37.02,35.400002,35.830002,35.735966,74800
08/09/21,37.360001,37.389999,36.52,36.799999,36.703419,97600
08/06/21,37.049999,37.549999,36.880001,37.119999,37.022575,83600
08/05/21,37.900002,37.900002,37.060001,37.439999,37.341736,68700
08/04/21,36.810001,37.740002,36.700001,37.529999,37.431499,142400
08/03/21,36.200001,36.779999,35.400002,36.540001,36.444099,137200
08/02/21,36.130001,36.950001,35.880001,36.049999,35.955387,164500
07/30/21,34.619999,35.779999,34.610001,35.59,35.496593,123300
07/29/21,34.080002,35.400002,34,35.23,35.137539,116300
07/28/21,33,34.240002,32.849998,33.970001,33.880848,135100
07/27/21,33.669998,33.669998,31.459999,32.849998,32.763783,98300
07/26/21,33.619999,34.220001,33.610001,33.990002,33.900795,101500
07/23/21,34.049999,34.110001,33.25,34.07,33.980583,107700
07/22/21,34.07,34.34,33.490002,33.950001,33.860897,98200
07/21/21,32.560001,34.389999,32.560001,34.349998,34.259846,109800
07/20/21,31.91,32.75,30.98,32.299999,32.215229,85700
07/19/21,30.5,31.82,30.26,31.620001,31.537014,138800
07/16/21,33.240002,33.380001,31.209999,31.32,31.237801,118900
07/15/21,34.419998,34.419998,32.540001,32.93,32.843575,181300
07/14/21,35.639999,36.110001,34.490002,34.560001,34.469299,106800
07/13/21,35.419998,35.549999,34.900002,35.110001,35.017853,88300
07/12/21,35.040001,35.630001,34.849998,35.610001,35.516541,100600
07/09/21,33.889999,34.779999,33.439999,34.689999,34.598953,56500
07/08/21,33.139999,34.060001,32.849998,33.689999,33.601578,266300
07/07/21,36.220001,36.389999,34.490002,34.66,34.569035,476000
07/06/21,36.25,36.369999,34.900002,35.75,35.656174,104700
07/02/21,36,36,35.330002,35.869999,35.775856,91700
07/01/21,36.029999,36.060001,35.07,35.27,35.177433,90900
06/30/21,36.02,36.23,35.650002,36.130001,36.035179,116200
06/29/21,35.43,36.029999,35.049999,36,35.905518,158600
06/28/21,34,35.75,34,35.540001,35.446724,289300
06/25/21,34.080002,34.200001,33.439999,33.59,33.501842,60200
06/24/21,33.330002,34.049999,33.330002,33.889999,33.801056,89800
06/23/21,32.66,33.150002,32.66,32.849998,32.763783,69300
06/22/21,32.150002,32.700001,31.91,32.580002,32.494495,60600
06/21/21,31.9,32.119999,31.26,32.119999,32.035698,89700
06/18/21,32.939999,33.119999,31.690001,31.91,31.826252,131100
06/17/21,32.049999,33.700001,32.049999,33.240002,33.152763,151900
06/16/21,32.790001,33.009998,31.639999,32.200001,32.11549,155900
06/15/21,33.07,33.310001,32.470001,32.580002,32.494495,94000
06/14/21,32.52,33.099998,32.099998,33.09,33.003155,76300
06/11/21,32.119999,32.43,31.91,32.380001,32.295021,36200
06/10/21,31.41,32.150002,31.110001,31.950001,31.866148,138700
06/09/21,32,32,31.280001,31.299999,31.217852,167400
06/08/21,32.419998,32.52,31.200001,31.610001,31.52704,115700
06/07/21,32.310001,32.34,31.5,32.060001,31.975859,126300
06/04/21,31.5,32.619999,31.5,32.41,32.32494,127600
06/03/21,31.120001,31.559999,30.58,30.92,30.83885,86500
06/02/21,31.18,32.07,31.040001,31.84,31.756435,98100
06/01/21,31.809999,32.209999,30.82,31.18,31.098167,186800
05/28/21,30.790001,31.610001,30.73,31.370001,31.28767,173000
05/27/21,30.32,30.91,30.190001,30.59,30.509716,65400
05/26/21,30.32,30.629999,29.91,30.33,30.250399,61600
05/25/21,30.440001,30.6,29.84,30.200001,30.120741,106300
05/24/21,29.2125,30.4025,29.190001,30.059999,29.981106,159600
05/21/21,29.2125,29.334999,28.5,28.6975,28.622183,113600
05/20/21,27.5975,28.92,27.5975,28.7075,28.632156,496800
05/19/21,25.24,27.125,25.002501,27.112499,27.041342,170800
05/18/21,27.012501,27.215,26.182501,26.26,26.19108,76800
05/17/21,26.575001,26.6675,25.817499,26.6675,26.597511,96400
05/14/21,26.125,27.4025,25.692499,27.0525,26.981501,152400
05/13/21,25.805,26.235001,24.959999,25.4375,25.370739,141600
05/12/21,26.174999,26.342501,24.8125,24.967501,24.901974,193200
05/11/21,25.7125,27.247499,25.25,27.190001,27.118641,724400
05/10/21,29.295,29.295,27.030001,27.084999,27.013914,193200
05/07/21,29.65,30.022499,29.2925,29.6675,29.589638,218400
05/06/21,28.23,28.842501,27.702499,28.735001,28.659586,91200
